true,pred
0.6563393,0.8614019
0.6824529,0.88613915
0.16946718,0.55828077
0.41643947,0.7263712
0.51494473,0.79712176
0.36206844,0.69436663
0.43142822,0.7206752
0.4464345,0.72068846
0.38994712,0.666495
0.34437755,0.6717218
0.37924838,0.64660597
0.49553502,0.71418244
0.49525553,0.74237406
0.81391686,0.9454875
0.5385835,0.7822118
0.64566076,0.84664845
0.45874146,0.7367555
0.47544733,0.7749285
0.617327,0.8011684
0.30903092,0.6515277
0.3414074,0.65835774
0.55032074,0.79654956
0.32506126,0.6551134
0.5697767,0.7860033
0.36273313,0.64658856
0.3558669,0.67869
0.14491954,0.53651494
0.51630557,0.7721892
0.46860594,0.72009933
0.47351155,0.7238656
0.5928513,0.7862841
0.6132566,0.8064333
0.833299,0.9613819
0.49399796,0.78098166
0.30172005,0.6359708
0.29232934,0.6487711
0.5959274,0.7930918
0.3648817,0.64601827
0.5298899,0.74243647
0.6879636,0.8575831
0.559603,0.81208974
0.4201315,0.7089342
0.4210868,0.6858358
0.6756543,0.8592888
0.5520697,0.7589197
0.72497785,0.89129007
0.3198016,0.63614225
0.71345216,0.88948405
0.6077608,0.83912617
0.6414624,0.83793235
0.43943378,0.70985365
0.597637,0.8094883
0.47826955,0.71499854
0.33017984,0.64923894
0.48574618,0.7458117
0.49295166,0.76663244
0.64705026,0.8470132
0.3810745,0.6816132
0.11201533,0.6305932
0.5217673,0.79059815
0.41304463,0.69951975
0.5146382,0.7574724
0.30327424,0.6502938
0.47061425,0.7256237
0.51189584,0.76204795
0.41229257,0.7339671
0.35954657,0.68357605
0.44272488,0.7112452
0.5149838,0.7501224
0.29591003,0.64743024
0.3833138,0.70651984
0.38839605,0.6641304
0.5089071,0.728692
0.5860746,0.8050261
0.6659702,0.8463544
0.5306634,0.7939139
0.67450136,0.8719465
0.30533946,0.58536834
1.6872658,1.213615
1.979668,1.3643396
1.9529626,1.3564343
1.558994,1.1712266
1.809673,1.2345645
1.9992399,1.3793112
1.7602152,1.2445266
1.8667048,1.2680326
2.0156808,1.3453643
1.8795819,1.2949387
1.8529013,1.2947367
2.333711,1.518134
1.5929403,1.1791968
1.4539167,1.0949125
2.1063159,1.4392651
1.5757334,1.2045768
1.7086554,1.2404923
